Report Number,WorkerNum,Dates,Q1Sunday,Q1Monday,Q1Tuesday,Q1Wednesday,Q1Thursday,Q1Friday,Q1Saturday,Q2Sunday,Q2Monday,Q2Tuesday,Q2Wednesday,Q2Thursday,Q2Friday,Q2Saturday,Q3Sunday,Q3Monday,Q3Tuesday,Q3Wednesday,Q3Thursday,Q3Friday,Q3Saturday,Q4Sunday,Q4Monday,Q4Tuesday,Q4Wednesday,Q4Thursday,Q4Friday,Q4Saturday,Q5Sunday,Q5Monday,Q5Tuesday,Q5Wednesday,Q5Thursday,Q5Friday,Q5Saturday
93841509,166942,10/17/21-10/23/21,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93859118,162460,10/17/21-10/23/22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001413,166941,10/17/21-10/23/23,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
93986957,164254,10/17/21-10/23/24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93875481,164256,10/17/21-10/23/25,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93840469,162474,10/17/21-10/23/26,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
93857377,162458,10/17/21-10/23/27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93841706,164252,10/17/21-10/23/28,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93815876,163499,10/17/21-10/23/29,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93811218,162491,10/17/21-10/23/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,42,45,9,0,0,7,8,10,3,9,0,0,0,0,0,0,0,0
94001410,162487,10/17/21-10/23/31,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93774953,162494,10/17/21-10/23/32,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93770548,162480,10/17/21-10/23/33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93770549,166943,10/17/21-10/23/34,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93767591,162475,10/17/21-10/23/35,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93763333,163494,10/17/21-10/23/36,1,3,1,1,1,0,0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93760993,162454,10/17/21-10/23/37,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93771902,162485,10/17/21-10/23/38,2,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93775229,164257,10/17/21-10/23/39,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93751612,162489,10/17/21-10/23/40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93750606,164255,10/17/21-10/23/41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93565152,162474,10/17/21-10/23/42,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
93604965,166942,10/17/21-10/23/43,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
