Report Number,WorkerNum,Dates,Q1Sunday,Q1Monday,Q1Tuesday,Q1Wednesday,Q1Thursday,Q1Friday,Q1Saturday,Q2Sunday,Q2Monday,Q2Tuesday,Q2Wednesday,Q2Thursday,Q2Friday,Q2Saturday,Q3Sunday,Q3Monday,Q3Tuesday,Q3Wednesday,Q3Thursday,Q3Friday,Q3Saturday,Q4Sunday,Q4Monday,Q4Tuesday,Q4Wednesday,Q4Thursday,Q4Friday,Q4Saturday,Q5Sunday,Q5Monday,Q5Tuesday,Q5Wednesday,Q5Thursday,Q5Friday,Q5Saturday
92931423,162473,9/19/21-9/25/21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92894881,162474,9/19/21-9/25/21,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92890741,162493,9/19/21-9/25/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
92880735,164256,9/19/21-9/25/21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91170275,162476,9/19/21-9/25/21,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92847269,164252,9/19/21-9/25/21,0,0,0,0,0,2,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92814553,164682,9/19/21-9/25/21,0,0,0,0,0,0,0,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92749587,162458,9/19/21-9/25/21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92727968,162494,9/19/21-9/25/21,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92722184,163499,9/19/21-9/25/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92716837,163497,9/19/21-9/25/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,40,3,0,0,5,8,12,12,3,0,0,0,0,0,0,0,0
92712224,162475,9/19/21-9/25/21,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92692080,162454,9/19/21-9/25/21,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92770177,162480,9/19/21-9/25/21,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92675588,162476,9/19/21-9/25/21,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92677332,162485,9/19/21-9/25/21,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92916723,162460,9/19/21-9/25/21,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92848468,162477,9/19/21-9/25/21,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0
92666902,163494,9/19/21-9/25/21,2,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92665403,162457,9/19/21-9/25/21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92658211,162492,9/19/21-9/25/21,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92680885,164257,9/19/21-9/25/21,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92656079,164254,9/19/21-9/25/21,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92655742,162489,9/19/21-9/25/21,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92655663,164255,9/19/21-9/25/21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
