"CSC NAME","DATE","CALL START","CALL END","DURATION","OUTCOME","EMAIL","LANGUAGE","NOTES","CATEGORY & TARGET AUDIENCE","FACILITY","ADDRESS","INDUSTRY","ATTEMPT #","IS FOLLOW-UP NEEDED / RECOMMENDED?","IF YES, BY WHAT DATE SHOULD FOLLOW-UP BE CONDUCTED?","Were materials emailed after the call?","If Yes, Please describe","PHONE","CITY OR ZIP"
"Cindy Mejia","7/19/2021",10:54:00,10:55:00,"0:01","No answer; did not leave voicemail","danielle.course@ascentaerospace.com","ENGLISH","dial by name or last directory, didn't leve a VM","CORPORATION: Employees","COAST COMPOSITES, LLC","7 Burroughs","Machine Shop, Jobbing And Repair",2,"No",NA,NA,NA,"9494550665","92618"
"Cindy Mejia","7/19/2021",10:56:00,10:58:00,"0:02","No answer; left voicemail","benefits@tillys.com","ENGLISH","transferred to benefits department, no answer left a VM","CORPORATION: Employees","TILLY'S, INC.","10 Whatney","Unisex Clothing Stores",2,"No",NA,NA,NA,"9496095599","92618"
"Cindy Mejia","7/19/2021",11:01:00,11:03:00,"0:02","Spoke with someone; they're not interested",NA,"ENGLISH","owner already signed them up for mental health services","CORPORATION: Employees","FORD TUTTLE-CLICK INC","43 Auto Center Dr","Automobiles, New And Used",2,"No",NA,NA,NA,"9498551704","92618"
"Cindy Mejia","7/19/2021",11:07:00,11:09:00,"0:02","No answer; did not leave voicemail","rosie.rivera@asics.com","ENGLISH","operator was on loop, listened tothe same message 3 times, no answer, no option to leave VM","CORPORATION: Employees","ASICS AMERICA CORPORATION","7755 Irvine Center Dr # 40","Footwear, Athletic",2,"No",NA,NA,NA,"9494538888","92618"
"Cindy Mejia","7/19/2021",11:11:00,11:13:00,"0:02","No answer; left voicemail",NA,"ENGLISH",NA,"EDUCATIONAL: Young Adults","BRANDMAN UNIVERSITY","16355 Laguna Canyon Rd","University",2,"No",NA,NA,NA,"9493419800","92618"
"Cindy Mejia","7/19/2021",11:18:00,11:20:00,"0:02","No answer; left voicemail","djohnston@secureauth.com","ENGLISH",NA,"CORPORATION: Employees","SECUREAUTH CORPORATION","8845 Irvine Center Dr # 200","Computer Software Development",2,"No",NA,NA,NA,"9497776959","92618"
"Cindy Mejia","7/19/2021",11:24:00,11:28:00,"0:04","Spoke with someone; they're not interested",NA,"ENGLISH","Need to speak tfo manager first, then will call back our call back outreach number","CORPORATION: Employees","ORANGEPEOPLE LLC","300 Spectrum Center Dr # 40","Cloud Seeding",2,"No",NA,NA,NA,"9495351308","92618"
"Cindy Mejia","7/19/2021",11:30:00,11:31:00,NA,"No answer; left voicemail",NA,"ENGLISH","students out for summer","EDUCATIONAL: Children","IRVINE UNIFIED SCHOOL DISTICT","12025 Yale Ct","Public Elementary School",2,"No",NA,NA,NA,"7147305194","92620"
"Cindy Mejia","7/19/2021",11:32:00,11:34:00,"0:02","No answer; left voicemail",NA,"ENGLISH",NA,"EDUCATIONAL: Children","IRVINE UNIFIED SCHOOL DISTICT","100 Honors","Public Elementary School",2,"No",NA,NA,NA,"9499366450","92620"
"Cindy Mejia","7/19/2021",11:35:00,11:37:00,"0:02","Spoke with someone; they're interested","sanders.amy@aaa-calif.com","ENGLISH","same email: will send informational email","CORPORATION: Employees","AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA","3333 Fairview Rd","Insurance Agents, Brokers, And Service",2,"No","7/19/2021","Yes","flyers","7148851343","92626"
"Cindy Mejia","7/20/2021",12:11:00,12:14:00,"0:03","No answer; left voicemail",NA,"ENGLISH",NA,"EDUCATIONAL: Children","SAGE HILL SCHOOL","20402 Newport Coast Dr","Elementary And Secondary Schools",2,"No",NA,"No",NA,"9492190100","92657"
"Cindy Mejia","7/21/2021",10:50:00,10:52:00,"0:02","No answer; left voicemail","ktraster@tustintoyota.com - Kaitlyn","ENGLISH","transferred to HR, no answer left a VM","CORPORATION: Employees","OREMOR OF TUSTIN, INC.","36 Auto Center Dr","Automobiles, New And Used",2,"No",NA,"No",NA,"8887865981","92782"
"Cindy Mejia","7/21/2021",11:01:00,11:05:00,"0:04","Spoke with someone; they're interested","dalders@rei.com -David","ENGLISH","transferred to manager, had no idea what I was talking about said to call after 1:00 PM to talk to the 1st contactnwe spoke to (Dave)","CORPORATION: Employees","RECREATIONAL EQUIPMENT, INC.","2962 El Camino Real","Sporting Goods And Bicycle Shops",2,"Yes","today (7/21/21) after1:00 PM","No",NA,"7145050205","92782"
"Cindy Mejia","7/21/2021",11:16:00,11:20:00,"0:04","Spoke with someone; they're interested","r_tus@cpk.com - Rosa","ENGLISH","Spoke o manager Rosa again. She saidx that to schedule a 15- minute meeting we would haves to go through corporate. Gave me the number: (310) 342-5000","CORPORATION: Employees","CALIFORNIA PIZZA KITCHEN, INC.","3001 El Camino Real","Pizza Restaurants",2,"Yes","after 7/21/21","No",NA,"7148385083","92782"
"Cindy Mejia","7/21/2021",11:22:00,11:24:00,"0:02","Spoke with someone; they're not interested",NA,"ENGLISH","to call corporate number, they can't set up 15 minute meeting. (770) 384- 4646","CORPORATION: Employees","HOME DEPOT U.S.A., INC.","2782 El Camino Real","Home Centers",2,"Yes","after 7/21/21","No",NA,"7148389200","92782"
"Cindy Mejia","7/21/2021",11:28:00,11:30:00,"0:02","No answer; did not leave voicemail",NA,"ENGLISH","call dropped","CORPORATION: Employees","AUTO CLUB ENTERPRISES","3333 Fairview Rd Msa451","Accident And Health Insurance",2,"No",NA,NA,NA,"7148505111","92626"
"Cindy Mejia","7/21/2021",11:38:00,11:43:00,"0:05","Spoke with someone; they're interested","nataly.novoa@cole-switches.com","ENGLISH","company got a new HR person, She had no idea who we were. will send her an imformational email to get her in the loop. She povided me a new email. already updated","CORPORATION: Employees","COLE INSTRUMENT CORP.","2650 S Croddy Way","Motors And Generators",2,"Yes","1 week from from 7/21/21","Yes","informational + flyers","7145563100","92704"
"Cindy Mejia","7/21/2021",11:49:00,11:53:00,"0:04","No answer; left voicemail","info@mydaycounts.org","ENGLISH",NA,"NON-PROFIT: Community Members","ORANGE COUNTY ADULT ACHIEVEMENT CENTER","225 W Carl Karcher Way","Packaging And Labeling Services",2,"No",NA,NA,NA,"7147445301","92801"
"Cindy Mejia","7/21/2021",11:55:00,12:01:00,"0:06","Spoke with someone; they're interested","info@ocerectors.com / bjurgenson@ocerectors.com","ENGLISH","spoke to someone and set up a meeting","CORPORATION: Employees","ORANGE COUNTY ERECTORS, INC.","517 E La Palma Ave","Buildings, Portable: Prefabricated Metal",2,"No",NA,"Yes","confirmation email","7145028455","92801"
"Cindy Mejia","7/21/2021",12:10:00,12:11:00,"0:01","No answer; did not leave voicemail","WAMCInfo@primehealthcare.com","ENGLISH","call dropped, will call again","HEALTHCARE: Out-Patient","ANAHEIM MEDICAL CENTER","1111 W La Palma Ave","General Medical And Surgical Hospitals",NA,NA,NA,NA,NA,"7147741450","92801"
