CSC.NAME,DATE,CALL.START.TIME,CALL.END.TIME,CALL.DURATION,OUTCOME,EMAIL..If.Interested.,SPANISH..Y.N.,NOTES,CATEGORY...TARGET.AUDIENCE,FACILITY,ADDRESS,INDUSTRY,PHONE,ZIP,,,,
Cindy Mejia,4/13/2021,9:14:00,9:16:00,2,Spoke with someone; they're not interested,NA,NA,NA,NA,ORCHARD HILLS SCHOOL,11555 CULVER DR,NA,7144302078,92602,,,,
Cindy Mejia,4/13/2021,9:19:00,9:20:00,1,No answer; did not leave voicemail,NA,NA,"the phone did not ring ""normally"" seemed disconnected. Found another phone number online. will call that one instead",NA,SOUTH LAKE MIDDLE SCHOOL,655 W YALE LOOP,NA,9499366709,92614,,,,
Cindy Mejia,4/13/2021,9:42:00,9:44:00,2,No answer; left voicemail,NA,NA,2nd call.  disconnected ronp,EDUCATIONAL: Children,PIONEER MIDDLE SCHOOL,2700 PIONEER RD,NA,7147307534,92782,,,,
Cindy Mejia,4/13/2021,9:47:00,9:49:00,2,Spoke with someone; they're interested,ttsent@pacificacademy.org,NA,NA,NA,PACIFIC ACADEMY,4947 ALTON PKWY,NA,9493985288,92604,,,,
Cindy Mejia,4/13/2021,9:51:00,9:54:00,3,No answer; left voicemail,NA,NA,2nd call.  voicemail ronp,EDUCATIONAL: Children,NEWPORT ACADEMY 1303 AVOCADO AVE SUITE 245,NA,NA,9497192998,92660,,,,
Cindy Mejia,4/13/2021,9:57:00,10:01:00,4,Spoke with someone; they're interested,jpitcher@recoverywithus.com,NA,"spoke to Jessica, she is the admissions supervisor. Has heard of CalHope, but did not know what its all about. would like to be added as a resource too.",NA,WINDWARD WAY RECOVERY,NA,NA,8445203822,92660,,,,
Cindy Mejia,4/13/2021,10:10:00,10:16:00,6,Spoke with someone; they're interested,lfcofield@friendshipshelter.org,NA,"spoke to HR; said that their employees are already have mental health care. Interested in CalHope for clients though, unsure is adminstration would like to be lsited as a resource, but that if more information and flyers are given, he can ask adminstration.",NA,FRIENDSHIPSHELTER,NA,NA,9494946928,92652,,,,
Cindy Mejia,4/13/2021,10:52:00,10:54:00,2,Spoke with someone; they're interested,NA,NA,person who answered said i called the wrong department. try looking online for mental health department.,HEALTHCARE: In-Patient,HOAG HOSPITAL,NA,NA,9497642229,92652,,,,
John Wigginton,4/13/2021,10:45:00,10:46:00,1,Spoke with someone; they're interested,sandra.valenzuela@kpchealth.com,NA,NA,NA,ORANGE COUNTY GLOBAL MEDICAL CENTER,NA,NA,7149533500,92705,,,,
John Wigginton,4/13/2021,10:46:00,10:47:00,1,No answer; did not leave voicemail,NA,NA,disconnected,NA,TRUMPET BEHAVIORAL HEALTH,NA,NA,9497568799,92705,,,,
John Wigginton,4/13/2021,10:49:00,10:50:00,1,Spoke with someone; they're not interested,NA,NA,NA,NA,ORANGE COUNTY COUNSELING CENTER,NA,NA,7146607760,92701,,,,
John Wigginton,4/13/2021,10:51:00,10:52:00,1,No answer; left voicemail,NA,NA,2nd call. voicemail ronp,HEALTHCARE: Out-Patient,NEWPORT CENTER FOR BEHAVIORAL MEDICINE AFTERCARE,NA,NA,9498631943,92660,,,,
John Wigginton,4/13/2021,10:54:00,10:56:00,2,No answer; left voicemail,NA,x,called back 7/9 no answer,NA,ASPIRE@HOAG,NA,NA,9497646360,92663,,,,
John Wigginton,4/13/2021,10:57:00,11:01:00,4,Spoke with someone; they're interested,NA,NA,no email to give.  I left phone and web info,NA,MENTAL HEALTH SERVICES,NA,NA,7144806767,92629,,,,
John Wigginton,4/13/2021,11:10:00,11:12:00,2,No answer; did not leave voicemail,NA,NA,disconnected,NA,JOEY'S FOOD LOCKER 3301  FONG RANCH ROAD,NA,NA,5303129979,95838,,,,
John Wigginton,4/13/2021,11:19:00,11:22:00,3,Spoke with someone; they're not interested,NA,NA,NA,NA,SIERRA ARDEN890MORSE AVE,NA,NA,9164831942,95864,,,,
John Wigginton,4/13/2021,11:31:00,11:31:00,0,No answer; did not leave voicemail,NA,NA,disconnected,NA,A HEART FOR THE HUNGRY1515 SPORTS DR,NA,NA,9167528958,95834,,,,
John Wigginton,4/13/2021,11:41:00,11:43:00,2,No answer; left voicemail,NA,x,called back 7/9 no answer,NA,SHORES OF HOPE110 6TH ST,NA,NA,9163720200,95605,,,,
Valeria Lazaro Rodriguez,4/13/2021,8:23:00,8:24:00,1,Spoke with someone; they're not interested,NA,NA,Said they already have their own counseling services,NA,UNION GOSPEL CHURCH 400 BANNON ST,NA,NA,9164473268,95811,,,,
Valeria Lazaro Rodriguez,4/13/2021,8:32:00,8:34:00,2,No answer; left voicemail,NA,NA,"Called back 5/20, said to email info@ssipfoodcloset.org, because they were leaving the office already. (emailed at 11:00 AM)",NA,SOUTH SACRAMENTO INTERFAITH 5625 24TH ST,NA,NA,9164285290,95822,,,,
Valeria Lazaro Rodriguez,4/13/2021,9:19:00,9:20:00,1,No answer; left voicemail,NA,NA,"Called back 5/20, said it was closed and left VM again",NA,HOLY CROSS FOOD LOCKER 1321 ANNA ST,NA,NA,9163733318,95605,,,,
Valeria Lazaro Rodriguez,4/13/2021,9:29:00,9:31:00,2,No answer; left voicemail,NA,NA,"Called back 5/20, open on Wednesdays, left VM again",NA,WEST SAC BAPTIST FOOD CLOSET,NA,NA,9163712111,95691,,,,
Valeria Lazaro Rodriguez,4/13/2021,10:33:00,10:36:00,3,Spoke with someone; they're interested,ldowns@symbiosiscare.com,NA,Receptionist gave me HR email (emailed at 10:37 AM),NA,"PREMIER MEDICAL TRANSPORTATION, INC.",575 Maple Ct Ste A,Ambulance Service,9094333939,92324,,,,
Valeria Lazaro Rodriguez,4/13/2021,10:44:00,10:44:00,0,No answer; did not leave voicemail,NA,NA,"Address and number are for Brightwood/Maric College in Riverside, it says it is permenantly closed online.",NA,"KAPLAN HIGHER EDUCATION, LLC",4040 Vine St,Medical Training Services,9512761704,92507,,,,
Valeria Lazaro Rodriguez,4/13/2021,11:07:00,11:07:00,0,No answer; did not leave voicemail,NA,NA,Number is for IT employee.,EDUCATIONAL: Young Adults,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",1160 University Ave,Economic Research,9518274801,92507,,,,
Valeria Lazaro Rodriguez,4/13/2021,11:08:00,11:08:00,0,No answer; did not leave voicemail,NA,NA,Both this number and the one above are not to contact UCR. Found 2 HR emails on their website judith.abbey@ucr.edu and tina.rodriguez@ucr.edu (emailed both at 11:09 AM),NA,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",1200 University Ave,University,9517872304,92507,,,,
Valeria Lazaro Rodriguez,4/13/2021,11:25:00,11:26:00,1,No answer; left voicemail,kailey.harahan@usda.gov,NA,Had email in VM recording (emailed at 11:27 AM),NA,AGRICULTURAL RESEARCH SERVICE,450 W Big Springs Rd,"Regulation Of Agricultural Marketing, Federal Government",9513694810,92507,,,,
Valeria Lazaro Rodriguez,4/13/2021,11:46:00,11:47:00,1,Spoke with someone; they're not interested,NA,NA,Number is for a Botanic Analyst. Told me to reach out to HR. I already emailed UCR.,NA,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",3401 Watkins Dr,University,9518275133,92507,,,,
Cindy Mejia,4/13/2021,9:22:00,9:24:00,2,Spoke with someone; they're not interested,NA,NA,NA,NA,NA,655 W. YALE LOOP,Public Middle School,9499366700,92614,,,,
