Report Number,WorkerNum,Date,Q1Sunday,Q1Monday,Q1Tuesday,Q1Wednesday,Q1Thursday,Q1Friday,Q1Saturday,Q2Sunday,Q2Monday,Q2Tuesday,Q2Wednesday,Q2Thursday,Q2Friday,Q2Saturday,Q3Sunday,Q3Monday,Q3Tuesday,Q3Wednesday,Q3Thursday,Q3Friday,Q3Saturday,Q4Sunday,Q4Monday,Q4Tuesday,Q4Wednesday,Q4Thursday,Q4Friday,Q4Saturday,Q5Sunday,Q5Monday,Q5Tuesday,Q5Wednesday,Q5Thursday,Q5Friday,Q5Saturday
91660314,162476,8/22/21-8/26/21,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91823930,162489,8/22/21 - 8/28/21,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91770909,163494,8/22-8/27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,30,30,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91701754,164255,08/22/21 - 08/28/21,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91687421,162458,8/22/2021-8/28/2021,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
91689417,164252,8/22/21 - 8/29/21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91672195,164256,08/22/2021-08/28/2021 Weekly Tally,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
91698665,162474,8/22/21-8/28/21,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,21,20,25,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
91680710,162473,8/22/2021-8/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91657655,162494,8/22-8/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91658323,164257,8/22/21-8/28/21,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,5,0,0,0,0,0,0,0,0,0
91652373,163499,8/22/21-8/28/21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,23,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91817376,164676,8/22/21-8/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,57,50,56,4,0,0,0,2,3,8,4,0,0,0,0,0,0,0,0
91650549,163497,8/22/21-8/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,62,61,60,8,0,0,7,4,7,9,8,0,0,0,0,0,0,0,0
91734438,162457,8/22/21-8/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91687761,162493,8/22/21-8/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91687771,162456,8/22/21-8/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91692527,162460,8/22/21- 8/28/21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91631593,162492,8/22/21-8/29/21,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,40,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
91616470,162485,8/22/2021 - 8/28/2021,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91598039,162454,8/22/21-8/29/21,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,11,3,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
91702163,162480,08/22/21 - 08/28/21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
